gene_short_na,Root_TPM,Leaf_TPM
Solyc00g102400,0.095618528,0.004697135
Solyc05g008690,0.062056989,0
Solyc05g042090,0,0
Solyc05g043420,0.005157287,0
Solyc05g044490,0.356821879,0.008029739
Solyc05g047700,0.018294071,0.003458127
Solyc05g050430,0.139267757,0
Solyc05g053990,0.165804787,0
Solyc05g054010,0.177976449,0.00825442
Solyc05g054020,0.0243324,0.00958234
Solyc05g054340,0.088322649,0.031834941
Solyc06g008380,0.020680259,0
Solyc06g008400,0.41273817,0.000917105
Solyc06g008450,0.207630541,0.008182304
Solyc06g008480,0.184678673,0
Solyc06g008770,0.200476526,0.000967127
Solyc06g008790,0.2314331,0
Solyc06g008800,0.229663008,0.001220006
Solyc05g009740,0.63333768,0.099763504
Solyc05g009750,0.174218281,0.003920384
Solyc05g009760,0.37630425,0.173132921
Solyc06g064680,0.025118041,0
Solyc06g064690,0,0
Solyc06g064720,0.079453904,0
Solyc06g064750,0.206260339,0
Solyc06g064760,0.026557297,0
Solyc09g098100,0.612379328,0.142347947
Solyc09g098130,0.095612102,0.037653184
Solyc09g098210,0,0
Solyc04g007490,0.450411797,0.091323135
Solyc05g005130,0.325021534,0.067366692
Solyc05g005330,0.005571462,0.085570899
Solyc05g007170,0.335437934,0
Solyc05g007350,0.005236276,0
Solyc05g007610,0.430274973,0
Solyc05g007630,0.700641672,0.007309146
Solyc05g007640,1.539356375,0.003771176
Solyc05g012740,0.420069145,0.011887023
Solyc05g012750,0,0
Solyc05g012900,0.134643573,0.046786303
Solyc05g012910,0.079331318,0.004628353
Solyc05g013260,0.042431815,0.016710084
Solyc05g013280,0.21127502,0.092751724
Solyc02g027080,0.789942047,0.278205926
Solyc12g009450,0.084891213,0.004775805
Solyc12g009460,0,0
Solyc01g087200,0.061731245,0.172872015
Solyc04g011960,0.01873479,0.005902292
Solyc04g011980,0.015116706,0
Solyc04g011990,0.029205316,0.004600524
Solyc06g062440,0.107400187,0.259809946
Solyc07g009180,0.125260756,0
Solyc02g030290,0,0
Solyc05g018010,0,0
Solyc10g054350,0,0
Solyc10g085460,0.4155804,0.259388046
Solyc12g006040,0.070807596,0
Solyc12g009417,0,0
Solyc05g008070,0.056077433,0.088333847
Solyc07g049700,0,0
Solyc10g051050,0.017961852,0.016976293
Solyc11g006520,0.184576353,0
Solyc11g006530,0.072810996,0
Solyc11g006630,0.287790801,0
Solyc11g006640,0.257463966,0.038625307
Solyc11g020080,0,0
Solyc11g020100,0.245138577,0.050462752
Solyc09g018220,0.069709259,0
Solyc09g092280,0.019744844,0.005183736
Solyc09g092290,0.045953313,0.017579501
Solyc09g092300,0.136531308,0.023250435
Solyc09g092310,0.167628757,0.085610201
Solyc04g009110,0.013874825,0
Solyc04g009120,0.003033746,0.001792034
Solyc04g009130,0.011933706,0.043862265
Solyc04g009150,0.037387921,0.006234935
Solyc04g009240,0,0.007233384
Solyc04g009250,0.419849675,0.010015131
Solyc04g009260,0,0.015210279
Solyc04g009290,0.344444588,0.004365529
Solyc04g009660,0.389179302,0.00313843
Solyc04g009690,0.082715795,0.006928395
Solyc04g025820,0.022534035,0
Solyc04g026110,0.148441485,0.111927106
Solyc07g039440,0,0
Solyc08g075630,0.016533174,0.002604355
Solyc08g075640,0.245587896,0.010180529
Solyc08g075980,0,0
Solyc08g076000,0.063379738,0.023281829
Solyc03g078300,0.351581303,0.12235765
Solyc08g007630,0.233810192,0.106106684
Solyc11g069620,0.150894699,0.06583251
Solyc11g069925,0.17733979,0.044645551
Solyc11g071420,0.14843061,0.002292286
Solyc01g086810,0.650573947,0.200081018
Solyc02g070730,0,0
Solyc02g073574,0.103259923,0.041446497
Solyc02g084450,0.112844909,0.059425406
Solyc02g084890,0.273107597,0.603478095
Solyc03g005650,0.773852557,0.006034544
Solyc03g006750,0,0
Solyc04g039980,0,0
Solyc04g039990,0,0.074002977
Solyc07g053010,0.080576461,0.24932116
Solyc07g053020,0.17578818,0.4476677
Solyc08g005440,0.191495575,0.19461289
Solyc12g094660,0.03275568,0.077397118
Solyc12g096920,0.131790469,0.016389421
Solyc01g067165,0.074407094,0.007813959
Solyc02g036270,0.114427166,0.18823325
Solyc02g037540,0.052042456,0
Solyc03g046207,0.316077162,0.058368525
Solyc03g094100,0,0
Solyc04g005540,0.696336312,0.211675931
Solyc04g005550,0.017388562,0.090734085
