,,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-1,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-10,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-11,CNL-12,CNL-12,CNL-12,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-13,CNL-16,CNL-16,CNL-16,CNL-16,CNL-2,CNL-2,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-3,CNL-4,CNL-4,CNL-4,CNL-4,CNL-4,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-5,CNL-6,CNL-6,CNL-6,CNL-6,CNL-8,CNL-8,CNL-8,CNL-8,CNL-8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-RPW8,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL-others,CNL13,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,CNL9,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NRC0,NRC1,NRC2,NRC3,NRC4a,NRC4b,NRC4c,NRC5,NRC6,NRC7,NRCn,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,NRCs-others,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL,TNL
clade,id,Solyc00g102400,Solyc05g043420,Solyc05g044490,Solyc05g047700,Solyc05g050430,Solyc05g053990,Solyc05g054010,Solyc05g042090,Solyc05g054020,Solyc06g008400,Solyc06g008450,Solyc06g008480,Solyc06g008770,Solyc06g008790,Solyc06g008800,Solyc05g054340,Solyc05g008690,Solyc06g008380,Solyc06g064680,Solyc06g064690,Solyc06g064720,Solyc06g064750,Solyc06g064760,Solyc05g009740,Solyc05g009750,Solyc05g009760,Solyc09g098210,Solyc09g098130,Solyc09g098100,Solyc05g012910,Solyc05g012900,Solyc05g005330,Solyc05g012750,Solyc05g012740,Solyc05g007640,Solyc05g007630,Solyc05g007610,Solyc05g007350,Solyc05g007170,Solyc04g007490,Solyc05g013280,Solyc05g013260,Solyc05g005130,Solyc12g009460,Solyc02g027080,Solyc12g009450,Solyc04g011990,Solyc04g011980,Solyc04g011960,Solyc01g087200,Solyc07g009180,Solyc06g062440,Solyc02g030290,Solyc10g085460,Solyc10g054350,Solyc05g018010,Solyc12g006040,Solyc12g009417,Solyc11g020100,Solyc11g006520,Solyc11g006530,Solyc07g049700,Solyc11g006630,Solyc11g006640,Solyc05g008070,Solyc11g020080,Solyc10g051050,Solyc09g092310,Solyc09g018220,Solyc09g092290,Solyc09g092300,Solyc09g092280,Solyc04g026110,Solyc04g025820,Solyc07g039440,Solyc04g009150,Solyc04g009240,Solyc04g009120,Solyc04g009690,Solyc04g009660,Solyc04g009290,Solyc04g009260,Solyc04g009130,Solyc04g009110,Solyc04g009250,Solyc08g076000,Solyc08g075980,Solyc08g075630,Solyc08g075640,Solyc03g078300,Solyc11g071420,Solyc11g069620,Solyc08g007630,Solyc11g069925,Solyc10g055080,Solyc03g046207,Solyc10g076440,Solyc10g055170,Solyc10g055140,Solyc01g067165,Solyc10g055120,Solyc12g044200,Solyc04g005540,Solyc12g044190,Solyc06g048910,Solyc12g016220,Solyc02g036270,Solyc02g037540,Solyc12g044180,Solyc10g055050,Solyc04g005550,Solyc03g094100,Solyc11g007790,Solyc08g007250,Solyc08g013970,Solyc02g073574,Solyc01g086810,Solyc03g006750,Solyc07g053010,Solyc08g005440,Solyc04g039980,Solyc04g039990,Solyc03g005650,Solyc02g070730,Solyc02g084890,Solyc02g084450,Solyc12g096920,Solyc07g053020,Solyc12g094660,Solyc04g007090,Solyc04g008180,Solyc04g008170,Solyc04g008160,Solyc04g008140,Solyc04g008130,Solyc04g008120,Solyc04g008200,Solyc12g096880,Solyc09g059830,Solyc09g005290,Solyc09g064680,Solyc09g063040,Solyc12g096900,Solyc09g059840,Solyc09g064690,Solyc11g064770,Solyc12g017810,Solyc11g043100,Solyc11g065800,Solyc11g068360,Solyc11g069660,Solyc11g069920,Solyc11g069990,Solyc11g071390,Solyc11g013750,Solyc11g071995,Solyc11g072350,Solyc10g086590,Solyc10g085780,Solyc10g074640,Solyc12g010660,Solyc11g065780,Solyc10g054970,Solyc10g054940,Solyc10g051170,Solyc12g017730,Solyc12g017800,Solyc10g012330,Solyc12g038900,Solyc11g043070,Solyc12g097010,Solyc08g067380,Solyc12g097000,Solyc01g088060,Solyc05g042100,Solyc05g021140,Solyc05g018710,Solyc05g008650,Solyc04g079420,Solyc04g057850,Solyc04g051210,Solyc04g012010,Solyc04g009100,Solyc04g009090,Solyc03g053070,Solyc03g006760,Solyc03g005670,Solyc02g090380,Solyc02g078680,Solyc02g032250,Solyc02g032230,Solyc02g030270,Solyc02g014230,Solyc01g016960,Solyc00g141360,Solyc01g103610,Solyc07g063360,Solyc06g065120,Solyc06g065140,Solyc06g065150,Solyc01g106410,Solyc07g044810,Solyc07g009190,Solyc06g065000,Solyc10g008220,Solyc01g090430,Solyc10g047320,Solyc05g009630,Solyc04g007070,Solyc04g007060,Solyc04g007030,Solyc04g007050,Solyc04g008150,Solyc04g015210,Solyc03g005660,Solyc08g074250,Solyc10g008230,Solyc07g005770,Solyc04g015220,Solyc08g005500,Solyc10g008240,Solyc02g070410,Solyc11g069020,Solyc12g005970,Solyc08g005510,Solyc09g007710,Solyc02g032650,Solyc07g055380,Solyc07g055610,Solyc02g082050,Solyc07g052770,Solyc07g052790,Solyc07g052800,Solyc02g032240,Solyc00g294230,Solyc04g025590,Solyc04g015630,Solyc01g008800,Solyc01g014840,Solyc01g066020,Solyc10g012280,Solyc01g102840,Solyc01g102850,Solyc01g102880,Solyc01g102920,Solyc04g007320,Solyc05g024370,Solyc11g011080,Solyc11g011350,Solyc05g007850,Solyc05g006630,Solyc05g006620,Solyc11g062150,Solyc04g056570,Solyc09g092410,Solyc11g011060,Solyc01g113620
CNL-1,Solyc00g102400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5294804,,,,,,,,,,,,,,,,,,,,,,
CNL-1,Solyc05g043420,,0,304001,2865267,4286561,7657548,7664766,1439105,7671251,,,,,,,7944839,54200928,,,,,,,53221881,53217623,53214360,,,,51129776,51136229,56906875,51252887,51258710,55019552,55024136,55033164,55198233,55389765,,50793044,50829825,57049915,,,,,,,,,,,,,37707578,,,,,,,,,54668709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436250,30691576,34318237,54216580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53346700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25798811,,,54877681,55888124,55905492,,,,,
CNL-1,Solyc05g044490,,304001,0,2561266,3982560,7353547,7360765,1743106,7367250,,,,,,,7640838,54504929,,,,,,,53525882,53521624,53518361,,,,51433777,51440230,57210876,51556888,51562711,55323553,55328137,55337165,55502234,55693766,,51097045,51133826,57353916,,,,,,,,,,,,,38011579,,,,,,,,,54972710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740251,30995577,34622238,54520581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53650701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26102812,,,55181682,56192125,56209493,,,,,
CNL-1,Solyc05g047700,,2865267,2561266,0,1421294,4792281,4799499,4304372,4805984,,,,,,,5079572,57066195,,,,,,,56087148,56082890,56079627,,,,53995043,54001496,59772142,54118154,54123977,57884819,57889403,57898431,58063500,58255032,,53658311,53695092,59915182,,,,,,,,,,,,,40572845,,,,,,,,,57533976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301517,33556843,37183504,57081847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56211967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28664078,,,57742948,58753391,58770759,,,,,
CNL-1,Solyc05g050430,,4286561,3982560,1421294,0,3370987,3378205,5725666,3384690,,,,,,,3658278,58487489,,,,,,,57508442,57504184,57500921,,,,55416337,55422790,61193436,55539448,55545271,59306113,59310697,59319725,59484794,59676326,,55079605,55116386,61336476,,,,,,,,,,,,,41994139,,,,,,,,,58955270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5722811,34978137,38604798,58503141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57633261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30085372,,,59164242,60174685,60192053,,,,,
CNL-1,Solyc05g053990,,7657548,7353547,4792281,3370987,0,7218,9096653,13703,,,,,,,287291,61858476,,,,,,,60879429,60875171,60871908,,,,58787324,58793777,64564423,58910435,58916258,62677100,62681684,62690712,62855781,63047313,,58450592,58487373,64707463,,,,,,,,,,,,,45365126,,,,,,,,,62326257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9093798,38349124,41975785,61874128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61004248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33456359,,,62535229,63545672,63563040,,,,,
CNL-1,Solyc05g054010,,7664766,7360765,4799499,3378205,7218,0,9103871,6485,,,,,,,280073,61865694,,,,,,,60886647,60882389,60879126,,,,58794542,58800995,64571641,58917653,58923476,62684318,62688902,62697930,62862999,63054531,,58457810,58494591,64714681,,,,,,,,,,,,,45372344,,,,,,,,,62333475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9101016,38356342,41983003,61881346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61011466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33463577,,,62542447,63552890,63570258,,,,,
CNL-1,Solyc05g042090,,1439105,1743106,4304372,5725666,9096653,9103871,0,9110356,,,,,,,9383944,52761823,,,,,,,51782776,51778518,51775255,,,,49690671,49697124,55467770,49813782,49819605,53580447,53585031,53594059,53759128,53950660,,49353939,49390720,55610810,,,,,,,,,,,,,36268473,,,,,,,,,53229604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855,29252471,32879132,52777475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51907595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24359706,,,53438576,54449019,54466387,,,,,
CNL-1,Solyc05g054020,,7671251,7367250,4805984,3384690,13703,6485,9110356,0,,,,,,,273588,61872179,,,,,,,60893132,60888874,60885611,,,,58801027,58807480,64578126,58924138,58929961,62690803,62695387,62704415,62869484,63061016,,58464295,58501076,64721166,,,,,,,,,,,,,45378829,,,,,,,,,62339960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9107501,38362827,41989488,61887831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61017951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33470062,,,62548932,63559375,63576743,,,,,
CNL-1,Solyc06g008400,,,,,,,,,,0,24884,42251,374886,391719,418191,,,8701,38105492,38116033,38126556,38140369,38154644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37181775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29697189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38414486,38419015,38420008,,,,38324959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
