gene_short_na,NLR clade
Mi1.2,CNL-1
Rpiblb2,CNL-1
Solyc00g102400,CNL-1
Solyc05g042090,CNL-1
Solyc05g043420,CNL-1
Solyc05g044490,CNL-1
Solyc05g050430,CNL-1
Solyc05g053990,CNL-1
Solyc05g054010,CNL-1
Solyc05g054020,CNL-1
Solyc05g054340,CNL-1
Solyc06g008380,CNL-1
Solyc06g008400,CNL-1
Solyc06g008450,CNL-1
Solyc06g008770,CNL-1
Solyc06g008790,CNL-1
Solyc06g008800,CNL-1
Solyc09g063040,CNL-1
Solyc05g009740,CNL-10
Solyc05g009750,CNL-10
Solyc05g009760,CNL-10
Solyc06g064680,CNL-10
Solyc06g064690,CNL-10
Solyc06g064720,CNL-10
Solyc06g064750,CNL-10
Solyc06g064760,CNL-10
Solyc09g064690,CNL-10
Solyc09g098100,CNL-10
Solyc09g098130,CNL-10
Solyc12g038900,CNL-10
Sw5b,CNL-10
Prf,CNL-11
R1,CNL-11
Solyc04g007490,CNL-11
Solyc05g005130,CNL-11
Solyc05g005330,CNL-11
Solyc05g007170,CNL-11
Solyc05g007350,CNL-11
Solyc05g007610,CNL-11
Solyc05g007630,CNL-11
Solyc05g007640,CNL-11
Solyc05g012740,CNL-11
Solyc05g012900,CNL-11
Solyc05g012910,CNL-11
Solyc05g013260,CNL-11
Solyc05g013280,CNL-11
Solyc01g016960,CNL-13
Solyc01g087200,CNL-13
Solyc04g011960,CNL-13
Solyc04g011980,CNL-13
Solyc04g011990,CNL-13
Solyc04g012010,CNL-13
Solyc06g062440,CNL-13
Solyc07g009180,CNL-13
Solyc08g074250,CNL-13
Cc00_g08250,CNL-15
Cc00_g08260,CNL-15
Cc00_g08280,CNL-15
Cc00_g09260,CNL-15
Cc00_g09280,CNL-15
Cc00_g09450,CNL-15
Cc00_g09460,CNL-15
Cc00_g09820,CNL-15
Cc00_g09830,CNL-15
Cc00_g09990,CNL-15
Cc00_g10960,CNL-15
Cc00_g10970,CNL-15
Cc00_g13920,CNL-15
Cc00_g14940,CNL-15
Cc00_g15940,CNL-15
Cc00_g17770,CNL-15
Cc00_g23050,CNL-15
Cc00_g23300,CNL-15
Cc00_g24980,CNL-15
Cc00_g26400,CNL-15
Cc00_g26800,CNL-15
Cc00_g27180,CNL-15
Cc00_g27750,CNL-15
Cc00_g27760,CNL-15
Cc00_g28130,CNL-15
Cc00_g29070,CNL-15
Cc00_g29520,CNL-15
Cc00_g29640,CNL-15
Cc00_g29820,CNL-15
Cc00_g30500,CNL-15
Cc00_g31080,CNL-15
Cc00_g31380,CNL-15
Cc00_g31400,CNL-15
Cc00_g32580,CNL-15
Cc00_g34280,CNL-15
Cc00_g35720,CNL-15
Cc02_g33080,CNL-15
Cc04_g12660,CNL-15
Cc05_g01650,CNL-15
Cc06_g16190,CNL-15
Cc06_g20410,CNL-15
Cc08_g00520,CNL-15
Cc08_g01600,CNL-15
Cc08_g01610,CNL-15
Cc08_g01620,CNL-15
Cc08_g01640,CNL-15
Cc08_g01650,CNL-15
Cc08_g01660,CNL-15
Cc08_g01670,CNL-15
Cc08_g01820,CNL-15
Cc08_g01900,CNL-15
Cc08_g01920,CNL-15
Cc08_g01940,CNL-15
Cc08_g01970,CNL-15
Cc08_g01980,CNL-15
Cc08_g02010,CNL-15
Cc08_g02020,CNL-15
Cc08_g02030,CNL-15
Cc08_g02040,CNL-15
Cc08_g02170,CNL-15
Cc08_g02180,CNL-15
Cc08_g02190,CNL-15
Cc08_g02210,CNL-15
Cc08_g02230,CNL-15
Cc08_g02250,CNL-15
Cc08_g02280,CNL-15
Cc08_g03590,CNL-15
Cc08_g03610,CNL-15
Cc08_g03670,CNL-15
Cc08_g03690,CNL-15
Cc08_g03710,CNL-15
Cc08_g03720,CNL-15
Cc08_g04500,CNL-15
Cc08_g04550,CNL-15
Cc08_g04570,CNL-15
Cc08_g04600,CNL-15
Cc09_g04860,CNL-15
Cc10_g08710,CNL-15
Cc11_g03400,CNL-15
Cc11_g04950,CNL-15
Cc11_g05380,CNL-15
RPM1,CNL-15
Solyc01g086810,CNL-15
Solyc08g005440,CNL-15
Cc00_g09140,CNL-16
Cc00_g09160,CNL-16
Cc00_g09730,CNL-16
Cc00_g09750,CNL-16
Cc00_g09760,CNL-16
Cc00_g09790,CNL-16
Cc00_g09960,CNL-16
Cc00_g10080,CNL-16
Cc00_g11130,CNL-16
Cc00_g11140,CNL-16
Cc00_g11180,CNL-16
Cc00_g11990,CNL-16
Cc00_g12000,CNL-16
Cc00_g12010,CNL-16
Cc00_g12030,CNL-16
Cc00_g12560,CNL-16
Cc00_g13650,CNL-16
Cc00_g13660,CNL-16
Cc00_g13670,CNL-16
Cc00_g15320,CNL-16
Cc00_g15680,CNL-16
Cc00_g16570,CNL-16
Cc00_g16840,CNL-16
Cc00_g17390,CNL-16
Cc00_g17520,CNL-16
Cc00_g17570,CNL-16
Cc00_g18700,CNL-16
Cc00_g18940,CNL-16
Cc00_g19390,CNL-16
Cc00_g19510,CNL-16
Cc00_g19540,CNL-16
Cc00_g19640,CNL-16
Cc00_g19650,CNL-16
Cc00_g19750,CNL-16
Cc00_g19990,CNL-16
Cc00_g20220,CNL-16
Cc00_g20410,CNL-16
Cc00_g21010,CNL-16
Cc00_g21440,CNL-16
Cc00_g21650,CNL-16
Cc00_g21890,CNL-16
Cc00_g23330,CNL-16
Cc00_g23630,CNL-16
Cc00_g23870,CNL-16
Cc00_g23940,CNL-16
Cc00_g24830,CNL-16
Cc00_g24870,CNL-16
Cc00_g24960,CNL-16
Cc00_g25160,CNL-16
Cc00_g25560,CNL-16
Cc00_g25760,CNL-16
Cc00_g25860,CNL-16
Cc00_g25880,CNL-16
Cc00_g26090,CNL-16
Cc00_g26260,CNL-16
Cc00_g26280,CNL-16
Cc00_g26460,CNL-16
Cc00_g26670,CNL-16
Cc00_g26700,CNL-16
Cc00_g27310,CNL-16
Cc00_g27390,CNL-16
Cc00_g27620,CNL-16
Cc00_g27660,CNL-16
Cc00_g27960,CNL-16
Cc00_g28310,CNL-16
Cc00_g28740,CNL-16
Cc00_g29120,CNL-16
Cc00_g29190,CNL-16
Cc00_g29230,CNL-16
Cc00_g29430,CNL-16
Cc00_g29510,CNL-16
Cc00_g30320,CNL-16
Cc00_g30480,CNL-16
Cc00_g30510,CNL-16
Cc00_g30560,CNL-16
Cc00_g30580,CNL-16
Cc00_g31350,CNL-16
Cc00_g31370,CNL-16
Cc00_g32660,CNL-16
Cc00_g32700,CNL-16
Cc00_g32860,CNL-16
Cc00_g33010,CNL-16
Cc00_g35040,CNL-16
Cc00_g35410,CNL-16
Cc00_g35480,CNL-16
Cc00_g35880,CNL-16
Cc01_g00010,CNL-16
Cc01_g00390,CNL-16
Cc01_g00420,CNL-16
Cc01_g00430,CNL-16
Cc01_g00440,CNL-16
Cc01_g00470,CNL-16
Cc01_g00520,CNL-16
Cc01_g00550,CNL-16
Cc01_g00570,CNL-16
Cc01_g00590,CNL-16
Cc01_g00910,CNL-16
Cc01_g00950,CNL-16
Cc01_g01600,CNL-16
Cc01_g01750,CNL-16
Cc01_g01770,CNL-16
Cc01_g01790,CNL-16
Cc01_g01800,CNL-16
Cc01_g01820,CNL-16
Cc01_g01840,CNL-16
Cc01_g02020,CNL-16
Cc01_g02240,CNL-16
Cc01_g02280,CNL-16
Cc01_g02320,CNL-16
Cc01_g02350,CNL-16
Cc01_g02500,CNL-16
Cc01_g02600,CNL-16
Cc01_g02870,CNL-16
Cc01_g02910,CNL-16
Cc01_g03180,CNL-16
Cc01_g03250,CNL-16
Cc01_g05220,CNL-16
Cc01_g05230,CNL-16
Cc01_g05240,CNL-16
Cc01_g05270,CNL-16
Cc01_g05280,CNL-16
Cc02_g32490,CNL-16
Cc03_g09340,CNL-16
Cc03_g10470,CNL-16
Cc03_g11690,CNL-16
Cc03_g11720,CNL-16
Cc03_g11730,CNL-16
Cc03_g11800,CNL-16
Cc03_g11820,CNL-16
Cc03_g11840,CNL-16
Cc03_g12660,CNL-16
Cc03_g12670,CNL-16
Cc03_g12690,CNL-16
Cc03_g12700,CNL-16
Cc03_g12710,CNL-16
Cc03_g12760,CNL-16
Cc03_g12790,CNL-16
Cc03_g12800,CNL-16
Cc03_g12820,CNL-16
Cc03_g12830,CNL-16
Cc03_g12840,CNL-16
Cc03_g14560,CNL-16
Cc03_g14580,CNL-16
Cc03_g14680,CNL-16
Cc03_g15860,CNL-16
Cc04_g12940,CNL-16
Cc07_g21270,CNL-16
Solyc02g030290,CNL-16
Solyc10g085460,CNL-16
BS2,CNL-2
Gpa2,CNL-2
Rx,CNL-2
Solyc02g027080,CNL-2
Solyc04g015220,CNL-2
Solyc08g005500,CNL-2
Solyc12g006040,CNL-2
Solyc12g009450,CNL-2
Solyc12g009460,CNL-2
Solyc12g010660,CNL-2
Solyc05g008070,CNL-3
Solyc07g049700,CNL-3
Solyc10g051050,CNL-3
Solyc11g006520,CNL-3
Solyc11g006530,CNL-3
Solyc11g006630,CNL-3
Solyc11g006640,CNL-3
Solyc11g020100,CNL-3
Solyc12g017800,CNL-3
Cc04_g07790,CNL-4
Cc06_g11100,CNL-4
Rpivnt1,CNL-4
Solyc09g018220,CNL-4
Solyc09g092280,CNL-4
Solyc09g092290,CNL-4
Solyc09g092300,CNL-4
Solyc09g092310,CNL-4
2,CNL-5
Cc04_g08600,CNL-5
Cc04_g08610,CNL-5
R2,CNL-5
RPP13,CNL-5
Solyc04g009110,CNL-5
Solyc04g009120,CNL-5
Solyc04g009130,CNL-5
Solyc04g009150,CNL-5
Solyc04g009240,CNL-5
Solyc04g009250,CNL-5
Solyc04g009290,CNL-5
Solyc04g009660,CNL-5
Solyc04g009690,CNL-5
Solyc04g026110,CNL-5
Solyc07g039440,CNL-5
Cc00_g11560,CNL-6
Cc00_g25750,CNL-6
Cc00_g27700,CNL-6
Cc02_g28000,CNL-6
Cc06_g17030,CNL-6
Cc08_g04110,CNL-6
Cc08_g04140,CNL-6
Cc08_g04160,CNL-6
Cc08_g04220,CNL-6
Cc08_g04230,CNL-6
Cc08_g04250,CNL-6
Solyc01g106410,CNL-6
Solyc04g039990,CNL-6
Solyc08g075630,CNL-6
Solyc08g075640,CNL-6
Solyc08g075980,CNL-6
Solyc08g076000,CNL-6
Cc00_g00660,CNL-8
Cc00_g05650,CNL-8
Cc00_g15890,CNL-8
Cc00_g16010,CNL-8
Cc00_g16760,CNL-8
Cc00_g22820,CNL-8
Cc00_g24910,CNL-8
Cc00_g27120,CNL-8
Cc00_g29840,CNL-8
Cc00_g31220,CNL-8
Cc02_g29750,CNL-8
Cc02_g29870,CNL-8
Cc02_g29890,CNL-8
Cc02_g29910,CNL-8
Cc02_g29930,CNL-8
Cc02_g29950,CNL-8
Cc02_g29990,CNL-8
Cc02_g30000,CNL-8
Cc02_g30020,CNL-8
Cc04_g14730,CNL-8
Cc04_g14750,CNL-8
Cc09_g09270,CNL-8
R3a,CNL-8
Solyc03g078300,CNL-8
Solyc08g007630,CNL-8
Solyc11g065780,CNL-8
Solyc11g069620,CNL-8
Solyc11g069925,CNL-8
Solyc11g071995,CNL-8
Hero,CNL-9
Solyc04g008120,CNL-9
Solyc04g008130,CNL-9
Solyc04g008140,CNL-9
Solyc04g008160,CNL-9
Solyc04g008180,CNL-9
Solyc04g008200,CNL-9
Solyc04g051210,CNL-9
Solyc06g065000,CNL-9
Cc00_g07220,CNL-ND-10
Cc00_g07250,CNL-ND-10
Cc00_g07270,CNL-ND-10
Cc00_g07290,CNL-ND-10
Cc00_g08120,CNL-ND-10
Cc00_g08130,CNL-ND-10
Cc00_g08820,CNL-ND-10
Cc00_g12420,CNL-ND-10
Cc00_g14490,CNL-ND-10
Cc00_g15620,CNL-ND-10
Cc00_g16870,CNL-ND-10
Cc00_g20890,CNL-ND-10
Cc00_g23210,CNL-ND-10
Cc00_g23550,CNL-ND-10
Cc00_g23800,CNL-ND-10
Cc00_g25120,CNL-ND-10
Cc00_g27630,CNL-ND-10
Cc00_g31250,CNL-ND-10
Cc01_g05660,CNL-ND-10
Cc04_g01220,CNL-ND-10
Cc05_g00910,CNL-ND-10
Cc05_g00920,CNL-ND-10
Cc05_g00960,CNL-ND-10
Cc05_g00990,CNL-ND-10
Cc05_g01020,CNL-ND-10
Cc05_g01270,CNL-ND-10
Cc05_g03570,CNL-ND-10
Solyc09g005290,CNL-ND-10
Solyc02g070730,CNL-ND-11
Solyc12g005970,CNL-ND-11
Solyc11g069020,CNL-ND-2
Solyc10g008230,CNL-ND-3
Solyc10g008240,CNL-ND-3
Cc11_g06550,CNL-ND-4
Solyc07g005770,CNL-ND-4
Cc00_g29470,CNL-ND-5
Cc03_g04520,CNL-ND-5
Cc03_g04680,CNL-ND-5
Cc03_g04710,CNL-ND-5
Cc03_g04730,CNL-ND-5
Cc03_g05830,CNL-ND-5
Cc03_g05850,CNL-ND-5
Cc03_g06090,CNL-ND-5
Cc03_g06190,CNL-ND-5
Cc03_g06200,CNL-ND-5
Cc03_g06210,CNL-ND-5
Cc03_g06330,CNL-ND-5
Cc03_g07200,CNL-ND-5
Cc06_g16160,CNL-ND-5
Cc06_g16170,CNL-ND-5
Cc06_g16180,CNL-ND-5
Cc06_g16200,CNL-ND-5
Cc06_g23160,CNL-ND-5
Cc11_g01970,CNL-ND-5
Cc11_g02000,CNL-ND-5
Cc11_g02040,CNL-ND-5
Cc11_g02050,CNL-ND-5
Cc11_g02060,CNL-ND-5
Cc11_g02900,CNL-ND-5
Cc11_g02920,CNL-ND-5
Solyc12g096920,CNL-ND-5
Solyc12g094660,CNL-ND-6
Solyc03g005650,CNL-ND-7
Solyc03g005670,CNL-ND-7
