gene_short_na,length,Root_FPKM,Root_TPM,Leaf_FPKM,Leaf_TPM,NLR clade
Solyc10g008220,2912,3.86095,0.190847053,1.47384,0.069788238,NRC0
Solyc01g090430,3314,10.566,0.522278185,3.45517,0.163606786,NRC1
Solyc10g047320,3425,23.9976,1.186203196,6.48159,0.306911703,NRC2
Solyc05g009630,2975,19.4049,0.959185685,8.86361,0.419703444,NRC3
Solyc04g007070,3209,52.4391,2.592068707,11.5961,0.549090393,NRC4a
Solyc04g007060,3025,75.7806,3.74584083,8.92419,0.422571985,NRC4b
Solyc04g007030,3640,198.77,9.825216239,0.580799,0.027501587,NRC4c
Solyc04g007050,3295,72.0004,3.558985256,0,0,NRC5
Solyc04g008150,3500,36.1403,1.786417782,0.101763,0.00481861,NRC6
Solyc04g015210,5045,63.0205,3.115108115,0.443955,0.021021846,NRC7
Solyc03g005660,3070,42.4744,2.099512827,1.07123,0.050724132,NRCn
Solyc04g015220,2876,43.7414,2.162140734,0,0,NRCs-others
Solyc02g070410,2961,2.84425,0.140591494,0,0,NRCs-others
Solyc08g074250,2789,2.02233,0.099963926,0,0,NRCs-others
Solyc08g005500,3705,1.86671,0.092271617,0,0,NRCs-others
Solyc10g008230,2409,2.20148,0.108819324,0.417695,0.019778401,NRCs-others
Solyc07g005770,2787,1.87933,0.092895425,0.832009,0.039396707,NRCs-others
Solyc10g008240,2957,6.9175,0.341932552,0.892156,0.042244745,NRCs-others
Solyc11g069020,2610,3.87995,0.191786224,1.78642,0.084589307,NRCs-others
Solyc12g005970,1173,1.15595,0.057138697,2.21744,0.104998664,NRCs-others
Solyc06g008800,3183,4.64622,0.229663008,0.025765,0.001220006,CNL-1
Solyc06g008770,3962,4.05576,0.200476526,0.0204245,0.000967127,CNL-1
Solyc06g008400,4167,8.34994,0.41273817,0.0193681,0.000917105,CNL-1
Solyc06g008450,6867,4.20049,0.207630541,0.1728,0.008182304,CNL-1
Solyc06g008790,4330,4.68203,0.2314331,0,0,CNL-1
Solyc06g008480,582,3.73616,0.184678673,0,0,CNL-1
Solyc05g050430,3672,2.81747,0.139267757,0,0,CNL-1
Solyc05g054020,3744,0.492259,0.0243324,0.202367,0.00958234,CNL-1
Solyc05g054010,3980,3.60057,0.177976449,0.174323,0.00825442,CNL-1
Solyc05g043420,3783,0.104335,0.005157287,0,0,CNL-1
Solyc05g047700,4408,0.3701,0.018294071,0.0730313,0.003458127,CNL-1
Solyc05g054340,4314,1.78682,0.088322649,0.672314,0.031834941,CNL-1
Solyc05g044490,3825,7.21872,0.356821879,0.169578,0.008029739,CNL-1
Solyc04g008130,3159,2.56944,0.127007615,0,0,CNL9
Solyc09g098130,4065,1.93429,0.095612102,0.795188,0.037653184,CNL-10
Solyc09g098100,4902,12.3888,0.612379328,3.00621,0.142347947,CNL-10
Solyc05g007630,4182,14.1744,0.700641672,0.15436,0.007309146,CNL-11
Solyc05g007610,5695,8.70472,0.430274973,0,0,CNL-11
Solyc05g007640,4059,31.1421,1.539356375,0.0796425,0.003771176,CNL-11
Solyc05g007350,3729,0.105933,0.005236276,0,0,CNL-11
Solyc05g012910,3345,1.60492,0.079331318,0.097745,0.004628353,CNL-11
Solyc05g012740,3873,8.49825,0.420069145,0.251039,0.011887023,CNL-11
Solyc04g007490,4343,9.1121,0.450411797,1.92863,0.091323135,CNL-11
Solyc05g013280,8198,4.27422,0.21127502,1.9588,0.092751724,CNL-11
Solyc05g005130,3441,6.57538,0.325021534,1.4227,0.067366692,CNL-11
